disagreement,residual,n,pearson_r,pearson_r_squared,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p
variance,abs_resid_muhat_1,24042,0.25160512607189217,0.06330513946565275,0.0,0.2651934982702297,0.0,0.17957669056140088,0.0
variance,abs_resid_ensemble_mean,24042,0.24708381106956678,0.06105040969266137,0.0,0.2690321611898564,0.0,0.18171902710694543,0.0
variance,signed_resid_muhat_1,24042,0.04111169595162667,0.0016901715440189968,1.806713192588298e-10,0.011403577597398533,0.07703661165160403,0.012013747611985714,0.0052077181597012115
variance,squared_resid_muhat_1,24042,0.15533062693355015,0.024127603663569735,1.056205061100894e-129,0.2651934982702297,0.0,0.17957669056140088,0.0
std,abs_resid_muhat_1,24042,0.25522180872620415,0.06513817164947514,0.0,0.2651934982702297,0.0,0.17957669056140088,0.0
std,abs_resid_ensemble_mean,24042,0.2533321336741701,0.0641771699519076,0.0,0.2690321611898564,0.0,0.18171902710694543,0.0
std,signed_resid_muhat_1,24042,0.05702614948315789,0.0032519817248754684,8.836940757024971e-19,0.011403577597398533,0.07703661165160403,0.012013747611985714,0.0052077181597012115
std,squared_resid_muhat_1,24042,0.15766092633032017,0.024856967691334643,1.3009727061851396e-133,0.2651934982702297,0.0,0.17957669056140088,0.0
range,abs_resid_muhat_1,24042,0.256762783973693,0.06592712723392134,0.0,0.26527865358858216,0.0,0.17957854171149534,0.0
range,abs_resid_ensemble_mean,24042,0.2550443596514809,0.06504762539003395,0.0,0.2694063608245402,0.0,0.18201018291272236,0.0
range,signed_resid_muhat_1,24042,0.05854712819988575,0.0034277662204538575,1.0337851489635985e-19,0.011503132912237743,0.07449151920727748,0.012073186591120378,0.004989409077821606
range,squared_resid_muhat_1,24042,0.15887637130586374,0.025241701359318684,1.1244706456082307e-135,0.26527865358858216,0.0,0.17957854171149534,0.0
mean_pairwise_abs,abs_resid_muhat_1,24042,0.2567627839736929,0.06592712723392129,0.0,0.26527865358858216,0.0,0.17957854171149534,0.0
mean_pairwise_abs,abs_resid_ensemble_mean,24042,0.25504435965148087,0.06504762539003392,0.0,0.2694063608245402,0.0,0.18201018291272236,0.0
mean_pairwise_abs,signed_resid_muhat_1,24042,0.05854712819988575,0.0034277662204538575,1.0337851489635985e-19,0.011503132912237743,0.07449151920727748,0.012073186591120378,0.004989409077821606
mean_pairwise_abs,squared_resid_muhat_1,24042,0.15887637130586368,0.025241701359318667,1.1244706456082307e-135,0.26527865358858216,0.0,0.17957854171149534,0.0
